Run,Lambda,MSE,RMSE,MAE,Gradient Error
1,0.001,0.83693457,0.9148413,0.65521115,0.27920824
2,0.001,0.8951487,0.946123,0.6782736,0.27691907
3,0.001,0.96860176,0.9841757,0.68698984,0.30466124
