Run,Lambda,MSE,RMSE,MAE,Gradient Error
1,0.0001,0.83548695,0.91404974,0.65462387,0.2768888
2,0.0001,0.8901985,0.9435033,0.6781543,0.2787795
3,0.0001,0.96219707,0.98091644,0.6841336,0.3029765
