Run,Lambda,MSE,RMSE,MAE,Gradient Error
1,0.01,0.83374393,0.9130958,0.65016055,0.26971537
2,0.01,0.8451675,0.91932994,0.6334124,0.28210992
3,0.01,1.0117252,1.0058455,0.7127674,0.31398514
