Run,MSE,RMSE,MAE,Gradient_Error,Kappa
1,1.286302,1.1341525,0.77792126,0.2950864,0.732822060585022
2,1.3711754,1.170972,0.80188644,0.29694593,0.7353876829147339
3,1.4303955,1.1959914,0.819926,0.31832755,0.7253370881080627
Mean,1.3626243,1.1670386,0.79991126,0.3034533,0.7311822772026062
Std,0.07242636,0.031106507,0.021071928,0.012914989,0.005222095474798064
