Run,MSE,RMSE,MAE,Gradient_Error,Kappa
1,1.3268327,1.1518822,0.7770001,0.29972136,0.7443966865539551
2,1.4083198,1.1867266,0.8336613,0.29613987,0.7443966865539551
3,1.4153533,1.1896862,0.80329806,0.31036642,0.7443966865539551
Mean,1.383502,1.1760983,0.80465317,0.30207586,0.7443966865539551
Std,0.04920287,0.021023933,0.02835489,0.007399767,0.0
