Run,MSE,RMSE,MAE,Gradient_Error,Kappa
1,2.788155,1.6697769,1.1372908,0.31435338,0.7348941564559937
2,2.7234538,1.6502889,1.1136743,0.31348538,0.7361030578613281
3,2.6772685,1.6362361,1.1060332,0.31613794,0.7247042059898376
Mean,2.7296257,1.6521007,1.1189995,0.31465888,0.7319004734357198
Std,0.055700343,0.016843656,0.016295025,0.0013524132,0.0062613943747740755
