Run,MSE,RMSE,MAE,Gradient_Error,Kappa
1,2.7543802,1.6596326,1.0883595,0.31577533,0.7342720627784729
2,2.6459048,1.6266237,1.0910975,0.31632558,0.7358916997909546
3,2.596685,1.6114233,1.0913765,0.31776908,0.724380373954773
Mean,2.6656566,1.6325598,1.0902778,0.31662333,0.7315147121747335
Std,0.08068181,0.024646753,0.0016671941,0.0010296839,0.006231363606036992
