Run,MSE,RMSE,MAE,Gradient_Error,Kappa
1,0.83431554,0.91340876,0.65414643,0.27668694,0.7316866517066956
2,0.8902637,0.94353783,0.67803365,0.27889967,0.7347106337547302
3,0.9668094,0.9832647,0.68541723,0.3039587,0.7241836190223694
Mean,0.89712954,0.9467371,0.6725324,0.2865151,0.7301936348279318
Std,0.06651323,0.03503768,0.01634513,0.015147067,0.005419993943173813
