Run,MSE,RMSE,MAE,Gradient_Error,Kappa
1,1.3432512,1.1589872,0.7981446,0.30192244,0.7324977517127991
2,1.3989851,1.1827871,0.8232094,0.29607463,0.7356908321380615
3,1.3798306,1.1746619,0.7923147,0.3082836,0.7258117198944092
Mean,1.3740224,1.1721454,0.8045562,0.30209354,0.7313334345817566
Std,0.0283173,0.012097866,0.01641501,0.0061062826,0.005041422464632344
