Run,MSE,RMSE,MAE,Gradient_Error,Kappa
1,0.8539714,0.92410576,0.66405797,0.27138633,0.7313367128372192
2,0.905368,0.9515083,0.674063,0.27523738,0.7351915240287781
3,0.96337634,0.9815174,0.68742555,0.30867305,0.7222854495048523
Mean,0.90757185,0.95237714,0.67518216,0.2850989,0.7296045621236166
Std,0.05473575,0.028715666,0.0117239235,0.0205064,0.006625099959642668
