Run,MSE,RMSE,MAE,Gradient_Error,Kappa
1,2.721202,1.6496066,1.0807204,0.31078014,0.7443966865539551
2,2.7041733,1.6444371,1.0982957,0.31205517,0.7443966865539551
3,2.6623557,1.6316726,1.1033944,0.31657547,0.7443966865539551
Mean,2.6959102,1.6419054,1.0941368,0.3131369,0.7443966865539551
Std,0.030280821,0.009231127,0.011895345,0.0030453417,0.0
