Run,MSE,RMSE,MAE,Gradient_Error,Kappa
3,0.91312957,0.95557815,0.6755187,0.29396367,0.7443966865539551
Mean,0.91312957,0.95557815,0.6755187,0.29396367,0.7443966865539551
Std,,,,,
