Run,MSE,RMSE,MAE,Gradient_Error,Kappa
1,1.3199285,1.1488814,0.778117,0.30276656,0.7329349517822266
2,1.4075263,1.1863921,0.8329022,0.29582542,0.7356676459312439
3,1.415589,1.1897852,0.80316323,0.31033474,0.7253479361534119
Mean,1.3810145,1.1750196,0.8047275,0.30297557,0.7313168446222941
Std,0.053055458,0.02269979,0.027426073,0.007256918,0.005346756545835897
