Run,MSE,RMSE,MAE,Gradient_Error,Kappa
1,0.83292985,0.9126499,0.6526018,0.27888837,0.7316576242446899
2,0.87348044,0.9346018,0.6696784,0.27678776,0.7347835302352905
3,0.97299266,0.9864039,0.6870505,0.30411005,0.7241414189338684
Mean,0.8931343,0.9445519,0.6697769,0.28659537,0.7301941911379496
Std,0.07207013,0.037870362,0.017224582,0.015204458,0.005469904988333143
